ResourceType,Id,Name,Description,StartDate,EndDate,CreateDate,ModifyDate,LastCommentDate,Tags,NumericPriority,Effort,EffortCompleted,EffortToDo,Progress,TimeSpent,TimeRemain,LastStateChangeDate,PlannedStartDate,PlannedEndDate,InitialEstimate,Units,EntityType,Project,LastEditor,Owner,LastCommentedUser,LinkedTestPlan,Release,Iteration,TeamIteration,Team,Priority,EntityState,ResponsibleTeam,PortfolioEpic,Epic,CustomFields,"Zendesk, BaseCamp URL",Scope,UAT Date,Deployed,For Project,Cost Type
Feature,274799,[Extended Customer Segments] Extended Customer Groups,"<div>wiki link&#58;</div>

<div>https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BExtended&#43;Customer&#43;Segments&#37;5D&#43;Extended&#43;Customer&#43;Groups</div>
",2018-10-01,2018-10-01,2018-09-25,2018-10-01,2018-10-01,,245176,14,14,0,1,16.5,0,2018-10-01,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Ivan, ResourceType=GeneralUser, Id=110, LastName=Ivanov, Login=ivan.ivanov@ewave.com}","{FirstName=Denis, ResourceType=GeneralUser, Id=458, LastName=Babkov, Login=denis.babkov@ewave.com}","{FirstName=Ivan, ResourceType=GeneralUser, Id=110, LastName=Ivanov, Login=ivan.ivanov@ewave.com}","{ResourceType=TestPlan, Id=275642, Name=[Extended Customer Segments] Extended Customer Groups}","{ResourceType=Release, Id=271210, Name=R48}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=200937}",,"{ResourceType=Epic, Id=263444, Name=Extended Customer Segments}",6,,,,,Trybe,To Be Determined
Feature,273883,Billable Link,"<div><a href=""https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;Billable&#43;Link"" target=""_blank"">https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;Billable&#43;Link</a></div>
",2018-09-21,2018-10-11,2018-09-18,2018-10-11,2018-10-11,,244378,64,64,0,1,59.55,4,2018-10-11,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Eldaniz, ResourceType=GeneralUser, Id=188, LastName=Gasymov, Login=eldaniz.gasymov@ewave.com}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Eldaniz, ResourceType=GeneralUser, Id=188, LastName=Gasymov, Login=eldaniz.gasymov@ewave.com}","{ResourceType=TestPlan, Id=276340, Name=Billable Link}","{ResourceType=Release, Id=271210, Name=R48}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=200209}",,"{ResourceType=Epic, Id=273882, Name=Billable Link}",6,,,,,Cerruti,To Be Determined
Feature,273666,Filter Bundle,"<div><a href=""https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;Filter&#43;Bundle"" target=""_blank"">https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;Filter&#43;Bundle</a></div>
",2018-10-15,2018-10-15,2018-09-17,2018-10-15,2018-10-15,,244193,42,42,0,1,130.45,0,2018-10-15,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Victor, ResourceType=GeneralUser, Id=247, LastName=Martinovich, Login=victor.martinovich@ewave.com}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Artemiy, ResourceType=GeneralUser, Id=746, LastName=Karpov, Login=artemiy.karpov@ewave.com}","{ResourceType=TestPlan, Id=277059, Name=Filter Bundle}",,,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=200047}",,"{ResourceType=Epic, Id=273665, Name=[Akeneo] Filter Bundle}",6,,,,,MYER,To Be Determined
Feature,273025,[Akeneo] Category Attribute,,,,2018-09-11,2018-09-17,,,243611,26,26,0,1,22.3,0,2018-09-11,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}",,,,,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=1, ResourceType=EntityState, Id=1276, Name=Open}","{ResourceType=TeamAssignment, Id=199512}",,"{ResourceType=Epic, Id=273024, Name=[Akeneo] Category Attribute}",6,,,,,MYER,To Be Determined
Feature,272264,[Gift Card] Erply Integration,"<div>https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BGift&#43;Card&#37;5D&#43;Erply&#43;Integration</div>
",2018-09-11,2018-10-03,2018-09-05,2018-10-03,2018-10-03,,242888,0,0,0,1,1,0,2018-10-03,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Valeriy, ResourceType=GeneralUser, Id=101, LastName=Denisik, Login=valeriy.denisik}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Valeriy, ResourceType=GeneralUser, Id=101, LastName=Denisik, Login=valeriy.denisik}",,"{ResourceType=Release, Id=271209, Name=R47}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=198915}",,"{ResourceType=Epic, Id=266346, Name=Gift Card}",6,,,,,TAF,To Be Determined
Feature,272262,[Gift Card] Abstract Card Integration,"<div>https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BGift&#43;Card&#37;5D&#43;Abstract&#43;Gift&#43;Card&#43;Integration</div>
",2018-09-10,2018-10-03,2018-09-05,2018-10-03,2018-10-03,,242886,10,10,0,1,3.2,0,2018-10-03,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Valeriy, ResourceType=GeneralUser, Id=101, LastName=Denisik, Login=valeriy.denisik}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Valeriy, ResourceType=GeneralUser, Id=101, LastName=Denisik, Login=valeriy.denisik}",,"{ResourceType=Release, Id=271210, Name=R48}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=198913}",,"{ResourceType=Epic, Id=266346, Name=Gift Card}",6,,,,,TAF,To Be Determined
Feature,271653,[Product Price] Special Pricing with Saving Display,,,,2018-08-31,2018-08-31,,,242319,0,0,0,0,0,0,2018-08-31,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}",,,,,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=1, ResourceType=EntityState, Id=1276, Name=Open}","{ResourceType=TeamAssignment, Id=198389}",,"{ResourceType=Epic, Id=269654, Name=Product Price}",6,,,,,Lego_internal,To Be Determined
Feature,270353,[Locator][Abstract Entity] Infinite Scroll,"<div>wiki&#58; <a href=""https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BLocator&#37;5D&#37;5BAbstract&#43;Entity&#37;5D&#43;Infinite&#43;Scroll"" target=""_blank"">https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BLocator&#37;5D&#37;5BAbstract&#43;Entity&#37;5D&#43;Infinite&#43;Scroll</a></div>
",2018-08-27,2018-08-31,2018-08-21,2018-08-31,2018-08-31,,241121,7,7,0,1,20,0,2018-08-31,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Denis, ResourceType=GeneralUser, Id=209, LastName=Yurevich, Login=denis.yurevich@ewave.com}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Denis, ResourceType=GeneralUser, Id=209, LastName=Yurevich, Login=denis.yurevich@ewave.com}","{ResourceType=TestPlan, Id=271492, Name=[Locator][Abstract Entity] Infinite Scroll}","{ResourceType=Release, Id=266515, Name=R46}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=197091}",,"{ResourceType=Epic, Id=129528, Name=Locator}",6,,,,,D'Urban,To Be Determined
Feature,270241,[Order Splitting] Gift Card,"<div>
<div><strong>Wiki article&#58; <a href=""https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BGift&#43;Card&#37;5D&#43;Order&#43;Splitting"" target=""_blank"">https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;&#37;5BGift&#43;Card&#37;5D&#43;Order&#43;Splitting</a></strong></div>
</div>
",2018-09-11,2018-10-02,2018-08-21,2018-10-02,2018-10-03,,241022,55,55,0,1,38,0,2018-10-02,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Viktoria, ResourceType=GeneralUser, Id=122, LastName=Kravchenko, Login=viktoria.kravchenko}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Valeriy, ResourceType=GeneralUser, Id=101, LastName=Denisik, Login=valeriy.denisik}","{ResourceType=TestPlan, Id=274669, Name=[Order Splitting] Gift Card}","{ResourceType=Release, Id=271210, Name=R48}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=196986}",,"{ResourceType=Epic, Id=150083, Name=Order Splitting}",6,,,,,TAF,To Be Determined
Feature,269655,Product Price,"<div>Wiki page&#58; https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;Product&#43;Price</div>
",2018-08-23,2018-08-31,2018-08-15,2018-08-31,2018-08-31,,240463,18,18,0,1,34.3,0,2018-08-31,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Denis, ResourceType=GeneralUser, Id=209, LastName=Yurevich, Login=denis.yurevich@ewave.com}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Denis, ResourceType=GeneralUser, Id=30, LastName=Naiman, Login=denis}","{ResourceType=TestPlan, Id=271611, Name=Product Price}","{ResourceType=Release, Id=266515, Name=R46}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=196441}",,"{ResourceType=Epic, Id=269654, Name=Product Price}",6,,,,,D'Urban,To Be Determined
Feature,266504,Master Configurable Product,"<div>wiki&#58;</div>

<div>https&#58;&#47;&#47;wiki.ewave.com&#47;display&#47;LEGO&#47;Additional&#43;Configurable&#43;Product</div>
",2018-08-03,2018-08-09,2018-07-25,2018-08-15,2018-08-09,,237605,18,18,0,1,17.1,0,2018-08-09,,,0,h,"{ResourceType=EntityType, Id=9, Name=Feature}","{ResourceType=Project, Process={ResourceType=Process, Id=20}, Id=4381, Name=eWave LEGO}","{FirstName=Dmitry, ResourceType=GeneralUser, Id=654, LastName=Plavskiy, Login=dmitry.plavskiy@ewave.com}","{FirstName=Denis, ResourceType=GeneralUser, Id=458, LastName=Babkov, Login=denis.babkov@ewave.com}","{FirstName=Denis, ResourceType=GeneralUser, Id=209, LastName=Yurevich, Login=denis.yurevich@ewave.com}","{ResourceType=TestPlan, Id=268791, Name=Master Configurable Product}","{ResourceType=Release, Id=264689, Name=R44}",,,"{ResourceType=Team, Id=134937, Name=LEGO TEAM}","{Importance=6, ResourceType=Priority, Id=10, Name=P6 - Normal}","{NumericPriority=9, ResourceType=EntityState, Id=1281, Name=Done}","{ResourceType=TeamAssignment, Id=193954}",,"{ResourceType=Epic, Id=212933, Name=Extended Products}",6,,,,,Hartmann,To Be Determined
